post_id,description,link,title,source,date,replies,author,votes,views
0,The Los Angeles artist's latest LP was inspired by a drive to West Virginia to visit his dying father.,https://www.residentadvisor.net/news/44175,"Diamondstein announces new album, Reflecting On A Dying Man, for Doom Trip",Resident Advisor,10/4/18,45,loggedpurely,1,1
1,The streaming platform says they are taking measures to ensure creators are properly paid.,https://www.residentadvisor.net/news/44187,"Mixcloud introduces Premium service, sets new restrictions on free users",Resident Advisor,12/18/18,33,iodinebungalow,2,5
2,"BADSISTA and Wilson Phoenix also contribute edits to the five-track release, out August 23rd.",https://www.residentadvisor.net/news/44185,"Laurel Halo, Varg, Nkisi remix LYZZA's IMPOSTER EP",Resident Advisor,12/25/18,35,obtainrebuild,3,6
3,It's the first LP by Josh Eustis under the moniker after the sudden passing of founding member Charlie Cooper in 2009.,https://www.residentadvisor.net/news/44179,"Telefon Tel Aviv returns with first album in ten years, Dreams Are Not Enough",Resident Advisor,1/2/19,26,nadirenlighten,4,7
4,"They'll arrive via the Ugandan collective's two labels, Nyege Nyege Tapes and Hakuna Kulala.",https://www.residentadvisor.net/news/44183,"Nyege Nyege reveal next two releases, an electro acholi compilation and Rey Sapienz EP",Resident Advisor,2/15/19,85,indianrevisit,5,31
5,Degiorgio will put out a remastered version of the 1994 album through Bandcamp's new vinyl pressing service.,https://www.residentadvisor.net/news/44182,"Kirk Degiorgio reissues debut As One album, Reflections",Resident Advisor,2/28/19,24,emitcruiser,6,6
6,The 13-track album will be available in a limited-edition vinyl run of 200 copies in August.,https://www.residentadvisor.net/news/44172,"Tobias. pulls from his archives for new LP, Studio Works 1986 - 1988",Resident Advisor,3/14/19,56,elastictwite,7,63
7,"The statement expresses a ""mutual desire to move on with their lives.""",https://www.residentadvisor.net/news/44181,"The Gaslamp Killer drops defamation lawsuit against rape accuser, issues joint statement",Resident Advisor,4/1/19,21,unequalednecan,8,27
8,The European Court Of Justice's decision could have repercussions for future copyright issues in the music industry.,https://www.residentadvisor.net/news/44180,Kraftwerk win two-decade court battle over unauthorized sampling,Resident Advisor,4/10/19,97,purringping,9,7
9,The three-disc set and booklet arrives on October 4th.,https://www.residentadvisor.net/news/44178,"Jeff Mills unveils new compilation, Sight, Sound And Space, for Axis Records",Resident Advisor,4/11/19,64,cleftmanaging,10,42
10,The 25-track effort features new versions of tracks from her OIL OF EVERY PEARL'S UN-INSIDES LP.,https://www.residentadvisor.net/news/44177,SOPHIE shares two-part 'non-stop remix album',Resident Advisor,5/10/19,67,tweakfizzle,11,624
11,The well-loved artist brought Afrofuturism to the LA beat scene.,https://www.residentadvisor.net/news/44174,Los Angeles producer Ras G has died,Resident Advisor,5/16/19,57,wisplikeregretful,12,73
12,"Ben UFO, Martyn, Lena Willikens and more are booked for the final run.",https://www.residentadvisor.net/news/44173,Boston's Make It New weekly party to end after 15 years,Resident Advisor,5/20/19,45,kiddreputable,13,6
13,Appeals for solidarity arrive in the wake of attacks on a Pride march in BiaÅ‚ystok along with waves of homophobic rhetoric from the media and politicians.,https://www.residentadvisor.net/news/44171,Polish dance music community seeks to rally support in face of anti-LGBTQ+ violence,Resident Advisor,5/23/19,11,ticketephemeris,14,47
14,"The five-month program balances music production, sound theory and business.",https://www.residentadvisor.net/news/44170,"Bridges Academy music and entrepreneurship program opens in Langa, South Africa",Resident Advisor,6/17/19,6,crispedpopulace,15,4
15,The band's seventh album comes out on DFA Records at the end of August.,https://www.residentadvisor.net/news/44169,"YACHT announce details of new album, Chain Tripping",Resident Advisor,8/1/19,63,elderlylowther,16,1
16,Ostalgia will come out on Adam X's Sonic Groove label in September.,https://www.residentadvisor.net/news/44163,Front Line Assembly member Rhys Fulber announces new East Germany-inspired album,Resident Advisor,9/3/19,44,magwitchlie,17,6
17,High Hopes And Local Fame is Daniel Ansorge's first release since 2017.,https://www.residentadvisor.net/news/44168,"Magazine team to launch new label, Schalen, with Barnt EP",Resident Advisor,9/26/19,39,financeexpose,18,74
18,The 14-track album from the London dance music mainstay features a host of collaborators and is his first solo LP since 2015.,https://www.residentadvisor.net/news/44167,"Dego details third solo album, Too Much",Resident Advisor,10/14/19,100,crunchergilly,19,4
19,We All Have An Impact is out in September.,https://www.residentadvisor.net/news/44147,Pessimist and Loop Faction ruminate on planetary destruction for new album as Boreal Massif,Resident Advisor,10/21/19,63,lliediguacamole,20,8
20,City commissioners voted to allow the festival to take place at Bayfront Park next year.,https://www.residentadvisor.net/news/44164,Ultra Music Festival poised to return to Downtown Miami in 2020,Resident Advisor,11/11/19,18,temperaturegrant,21,7
21,"The first in a series of reissues, it compiles music from three cassettes spanning 2010 to 2011.",https://www.residentadvisor.net/news/44162,"Vatican Shadow re-releases rare tapes as double-LP set, Byzantine Private CIA",Resident Advisor,11/19/19,15,glandycrusted,22,4
22,The 12-track full-length is out on Cocktail d'Amore Music on September.,https://www.residentadvisor.net/news/44161,"Kris Baha reveals post-punk and industrial-influenced debut album, Palais",Resident Advisor,12/17/19,31,grouchluka,23,7
23,"Out now, it includes over 90 minutes of recordings from two shows in May.",https://www.residentadvisor.net/news/44160,"Four Tet reveals surprise album, Live At Alexandra Palace",Resident Advisor,12/25/19,4,poundmasculine,24,85
24,"Anderson collaborates with Tibetan singer Tenzin Choegyal and Jesse Paris Smith on Songs From The Bardo, out on Smithsonian Folkways in September.",https://www.residentadvisor.net/news/44159,Laurie Anderson announces album inspired by Tibetan Book of the Dead,Resident Advisor,12/30/19,100,familydbase,25,98
25,The festival is also taking place in Portugal and Tel Aviv this September.,https://www.residentadvisor.net/news/44158,The BPM Festival moves to Costa Rica for 2020 winter edition,Resident Advisor,10/3/18,35,weedcreepy,26,0
26,El Silencio De Los Que Hablan comes out at the end of August.,https://www.residentadvisor.net/news/44157,Chilean club label Cazeria Cazador signs Humedad for an eight-track EP,Resident Advisor,10/15/18,20,drowndeflator,27,6
27,"Out tomorrow, the cassette was recorded earlier this year in Shibuya, Tokyo.",https://www.residentadvisor.net/news/44156,Madteo to release 78-minute mixtape on DDS,Resident Advisor,11/2/18,91,cirlostrich,28,5
28,"We spoke to the London DJ, broadcaster and promoter about her new outlet and its debut release by Jumping Back Slash.",https://www.residentadvisor.net/news/44155,"Tash LC launches label, Club Yeke",Resident Advisor,11/13/18,49,bollarhippers,29,6
